htsno,hs8,hs6,hs2,description,general,special,CN_subheading,CN_wave,CN_tariff
4409.22.90.90,44092290,440922,44,Other,,,,,0.0
4409.29,,,,Other:,,,,,0.0
4409.29.06,44092906,440929,44,"Wood continuously shaped along any of its ends, whether or not also continuously shaped along any of its edges or faces, all the foregoing whether or not planed, sanded or end-jointed",3.2%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4409.29.06.55,44092906,440929,44,Wood flooring (end-matched),,,,,0.0
4409.29.06.65,44092906,440929,44,Other,,,,,0.0
,,,,Other:,,,,,0.0
4409.29.11.00,44092911,440929,44,Wood siding,Free,,9903.88.03,List 3,25.0
4409.29.26,44092926,440929,44,Wood flooring,Free,,9903.88.03,List 3,25.0
4409.29.26.30,44092926,440929,44,Maple (<u>Acer</u> spp.),,,,,0.0
4409.29.26.50,44092926,440929,44,Birch (<u>Betula</u> spp.) and beech (<u>Fagus</u> spp.),,,,,0.0
4409.29.26.60,44092926,440929,44,Other,,,,,0.0
,,,,Wood moldings:,,,,,0.0
4409.29.41.00,44092941,440929,44,Standard wood moldings,Free,,9903.88.03,List 3,25.0
4409.29.51.00,44092951,440929,44,Other,Free,,9903.88.03,List 3,25.0
,,,,Wood dowel rods:,,,,,0.0
4409.29.61.00,44092961,440929,44,Plain,Free,,9903.88.03,List 3,25.0
4409.29.66.00,44092966,440929,44,"Sanded, grooved or otherwise advanced in condition",4.9%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4409.29.91.00,44092991,440929,44,Other,Free,,9903.88.03,List 3,25.0
4410,,,,"Particle board, oriented strand board (OSB) and similar board (for example, waferboard) of wood or other ligneous materials, whether or not agglomerated with resins or other organic binding substances:",,,,,0.0
,,,,Of wood:,,,,,0.0
4410.11.00,44101100,441011,44,Particle board,Free,,9903.88.03,List 3,25.0
4410.11.00.10,44101100,441011,44,Unworked or not further worked than sanded,,,,,0.0
4410.11.00.20,44101100,441011,44,Surface-covered with melamine-impregnated paper,,,,,0.0
4410.11.00.30,44101100,441011,44,Surface-covered with decorative laminates of plastic,,,,,0.0
4410.11.00.60,44101100,441011,44,Other,,,,,0.0
4410.12.00,44101200,441012,44,Oriented strand board (OSB),Free,,9903.88.03,List 3,25.0
4410.12.00.10,44101200,441012,44,Unworked or not further worked than sanded,,,,,0.0
4410.12.00.20,44101200,441012,44,Other,,,,,0.0
4410.19.00,44101900,441019,44,Other,Free,,9903.88.03,List 3,25.0
4410.19.00.10,44101900,441019,44,Unworked or not further worked than sanded,,,,,0.0
4410.19.00.20,44101900,441019,44,Surface-covered with melamine-impregnated paper,,,,,0.0
4410.19.00.30,44101900,441019,44,Surface-covered with decorative laminates of plastic,,,,,0.0
4410.19.00.60,44101900,441019,44,Other,,,,,0.0
4410.90.00.00,44109000,441090,44,Other,Free,,9903.88.03,List 3,25.0
4411,,,,"Fiberboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances:",,,,,0.0
,,,,Medium density fiberboard (MDF):,,,,,0.0
4411.12,,,,Of a thickness not exceeding 5 mm:,,,,,0.0
4411.12.10.00,44111210,441112,44,Not mechanically worked or surface covered,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
,,,,"Tongued, grooved or rabbetted continuously along any of its edges and dedicated for use in the construction of walls, ceilings or other parts of buildings:",,,,,0.0
4411.12.20.00,44111220,441112,44,"Laminated boards bonded in whole or in part, or impregnated, with synthetic resins",1.9¢/kg + 1.5%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4411.12.30.00,44111230,441112,44,Other,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
4411.12.60.00,44111260,441112,44,Not surface covered (except for oil treatment),Free,,9903.88.03,List 3,25.0
4411.12.90,44111290,441112,44,Other,3.9%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4411.12.90.10,44111290,441112,44,Standard wood molding,,,,,0.0
4411.12.90.90,44111290,441112,44,Other,,,,,0.0
4411.13,,,,Of a thickness exceeding 5 mm but not exceeding 9 mm:,,,,,0.0
4411.13.10.00,44111310,441113,44,Not mechanically worked or surface covered,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
,,,,"Tongued, grooved or rabbetted continuously along any of its edges and dedicated for use in the construction of walls, ceilings or other parts of buildings:",,,,,0.0
4411.13.20.00,44111320,441113,44,"Laminated boards bonded in whole or in part, or impregnated, with synthetic resins",1.9¢/kg + 1.5%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4411.13.30.00,44111330,441113,44,Other,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
4411.13.60.00,44111360,441113,44,Not surface covered (except for oil treatment),Free,,9903.88.03,List 3,25.0
4411.13.90,44111390,441113,44,Other,3.9%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4411.13.90.10,44111390,441113,44,Standard wood molding,,,,,0.0
4411.13.90.90,44111390,441113,44,Other,,,,,0.0
4411.14,,,,Of a thickness exceeding 9 mm:,,,,,0.0
4411.14.10.00,44111410,441114,44,Not mechanically worked or surface covered,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
,,,,"Tongued, grooved or rabbetted continuously along any of its edges and dedicated for use in the construction of walls, ceilings or other parts of buildings:",,,,,0.0
4411.14.20.00,44111420,441114,44,"Laminated boards bonded in whole or in part, or impregnated, with synthetic resins",1.9¢/kg + 1.5%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4411.14.30.00,44111430,441114,44,Other,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
4411.14.60.00,44111460,441114,44,Not surface covered (except for oil treatment),Free,,9903.88.03,List 3,25.0
4411.14.90,44111490,441114,44,Other,3.9%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4411.14.90.10,44111490,441114,44,Standard wood molding,,,,,0.0
4411.14.90.90,44111490,441114,44,Other,,,,,0.0
,,,,Other:,,,,,0.0
4411.92,,,,Of a density exceeding 0.8 g/cm<sup>3</sup> :,,,,,0.0
4411.92.10.00,44119210,441192,44,Not mechanically worked or surface covered,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
4411.92.20.00,44119220,441192,44,Not surface covered (except for oil treatment),Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
4411.92.30.00,44119230,441192,44,"Tileboard which has been continuously worked along any of its edges and is dedicated for use in the construction of walls, ceilings or other parts of buildings",Free,,9903.88.03,List 3,25.0
4411.92.40.00,44119240,441192,44,Other,6%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4411.93,,,,Of a density exceeding 0.5 g/cm<sup>3</sup> but not exceeding 0.8 g/cm<sup>3</sup> :,,,,,0.0
4411.93.10.00,44119310,441193,44,Not mechanically worked or surface covered,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
,,,,"Tongued, grooved or rabbetted continuously along any of its edges and dedicated for use in the construction of walls, ceilings or other parts of buildings:",,,,,0.0
4411.93.20.00,44119320,441193,44,"Laminated boards bonded in whole or in part, or impregnated, with synthetic resins",1.9¢/kg + 1.5%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4411.93.30.00,44119330,441193,44,Other,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
4411.93.60.00,44119360,441193,44,Not surface covered (except for oil treatment),Free,,9903.88.03,List 3,25.0
4411.93.90,44119390,441193,44,Other,3.9%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4411.93.90.10,44119390,441193,44,Standard wood molding,,,,,0.0
4411.93.90.90,44119390,441193,44,Other,,,,,0.0
4411.94.00,44119400,441194,44,Of a density not exceeding 0.5 g/cm<sup>3</sup>,Free,,9903.88.03,List 3,25.0
,,,,Of a density exceeding 0.35 g/cm<sup>3</sup> but not exceeding 0.5 g/cm<sup>3</sup>:,,,,,0.0
,,,,Not mechanically worked or surface covered:,,,,,0.0
4411.94.00.10,44119400,441194,44,Impregnated with bitumen,,,,,0.0
4411.94.00.20,44119400,441194,44,Other,,,,,0.0
,,,,Other:,,,,,0.0
4411.94.00.30,44119400,441194,44,Impregnated with bitumen,,,,,0.0
4411.94.00.40,44119400,441194,44,Other,,,,,0.0
,,,,Other:,,,,,0.0
,,,,Not mechanically worked or surface covered:,,,,,0.0
4411.94.00.50,44119400,441194,44,Impregnated with bitumen,,,,,0.0
4411.94.00.60,44119400,441194,44,Other,,,,,0.0
,,,,Other:,,,,,0.0
4411.94.00.70,44119400,441194,44,Impregnated with bitumen,,,,,0.0
4411.94.00.80,44119400,441194,44,Other,,,,,0.0
4412,,,,"Plywood, veneered panels and similar laminated wood:",,,,,0.0
4412.10,,,,Of bamboo:,,,,,0.0
4412.10.05.00,44121005,441210,44,Plywood,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.10.90.00,44121090,441210,44,Other,Free,,9903.88.03,List 3,25.0
,,,,"Other plywood consisting solely of sheets of wood (other than bamboo), each ply not exceeding 6 mm in thickness:",,,,,0.0
4412.31,,,,With at least one outer ply of tropical wood:,,,,,0.0
,,,,"Not surface covered, or surface covered with a clear or transparent material which does not obscure the grain, texture or markings of the face ply:",,,,,0.0
4412.31.06,44123106,441231,44,With a face ply of birch (<u>Betula</u> spp.),Free,,9903.88.03,List 3,25.0
4412.31.06.20,44123106,441231,44,"Panels not exceeding in any dimension 3.6 mm in thickness, 1.2 m in width and 2.2 m in length",,,,,0.0
,,,,Other:,,,,,0.0
4412.31.06.40,44123106,441231,44,Not surface covered,,,,,0.0
4412.31.06.60,44123106,441231,44,Other,,,,,0.0
4412.31.26,44123126,441231,44,With a face ply of Spanish cedar (<u>Cedrela</u> spp.) or walnut (<u>Juglans</u> spp),8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.31.26.10,44123126,441231,44,With a face ply of Spanish cedar (<u>Cedrela</u> spp.),,,,,0.0
4412.31.26.20,44123126,441231,44,With a face ply of walnut (<u>Juglans</u> spp.),,,,,0.0
,,,,Other:,,,,,0.0
,,,,"With at least one outer ply of the following tropical woods: Dark Red Meranti, Light Red Meranti, White Lauan, Sipo, Limba, Okoumé, Obeche, Acajou d'Afrique, Sapelli, Virola, Mahogany, Palissandre de Para, Palissandre de Rio or Palissandre de Rose:",,,,,0.0
4412.31.42.00,44123142,441231,44,With a face ply of mahogany (<u>Swietenia</u> spp. or <u>Khaya</u> spp.),8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.31.45.00,44123145,441231,44,Panels not exceeding 3.6 mm in thickness and exceeding 1.2 m in width and 2.2 m in length,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.31.48,44123148,441231,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.31.48.50,44123148,441231,44,Panels not exceeding 3.6 mm in thickness and not exceeding 1.2 m in width and 2.2 m in length,,,,,0.0
,,,,Other:,,,,,0.0
,,,,Not surface covered:,,,,,0.0
4412.31.48.60,44123148,441231,44,"Dark Red Meranti, Light Red Meranti or White Lauan (Luan) (<u>Shorea</u> spp.)",,,,,0.0
4412.31.48.63,44123148,441231,44,"Limba (<u>Terminalia</u> spp.), also known as Terminalia and Nargusta",,,,,0.0
4412.31.48.66,44123148,441231,44,Virola (<u>Virola</u> spp.),,,,,0.0
4412.31.48.69,44123148,441231,44,Other,,,,,0.0
,,,,Other:,,,,,0.0
4412.31.48.75,44123148,441231,44,Wood flooring,,,,,0.0
4412.31.48.80,44123148,441231,44,Other,,,,,0.0
4412.31.52,44123152,441231,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.31.52.25,44123152,441231,44,Wood flooring,,,,,0.0
,,,,Other:,,,,,0.0
4412.31.52.35,44123152,441231,44,With a face ply of sen (<u>Kalopanax</u> spp.),,,,,0.0
,,,,Other:,,,,,0.0
4412.31.52.55,44123152,441231,44,"Panels not exceeding in any dimension 3.6 mm in thickness, 1.2 m in width and 2.2 m in length",,,,,0.0
,,,,Other:,,,,,0.0
,,,,Not surface covered:,,,,,0.0
4412.31.52.60,44123152,441231,44,"Albizia (<u>Albizia</u> spp.), also known as Falcata, Batai and Suar wood",,,,,0.0
4412.31.52.62,44123152,441231,44,Bintangor (<u>Calophyllum</u> spp.),,,,,0.0
4412.31.52.64,44123152,441231,44,Mersawa (<u>Anisoptera</u> spp.),,,,,0.0
4412.31.52.66,44123152,441231,44,"Parica (<u>Schizolobium</u> spp.), also known as Pinho Cuiabano, Firetree and Guapuruvu",,,,,0.0
4412.31.52.68,44123152,441231,44,"Pencil cedar, Nyatoh (<u>Palaquium</u> spp.)",,,,,0.0
4412.31.52.70,44123152,441231,44,Other,,,,,0.0
4412.31.52.75,44123152,441231,44,Other,,,,,0.0
,,,,Other:,,,,,0.0
4412.31.61.00,44123161,441231,44,"With at least one outer ply of the following tropical woods: Dark Red Meranti, Light Red Meranti, White Lauan, Sipo, Limba, Okoumé, Obeche, Acajou d'Afrique, Sapelli, Virola, Mahogany, Palissandre de Para, Palissandre de Rio or Palissandre de Rose",8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.31.92.00,44123192,441231,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.33,,,,"Other, with at least one outer ply of nonconiferous wood of the species alder (<u>Alnus</u> spp.), ash (<u>Fraxinus</u> spp.), beech (<u>Fagus</u> spp.), birch (<u>Betula</u> spp.), cherry (<u>Prunus</u> spp.), chestnut (<u>Castanea</u> spp.), elm (<u>Ulmus</u> spp.), eucalyptus (<u>Eucalyptus</u> spp.), hickory (<u>Carya</u> spp.), horse chestnut (<u>Aesculus</u> spp.), lime (<u>Tilia</u> spp.), maple (<u>Acer</u> spp.), oak (<u>Quercus</u> spp.), plane tree (<u>Platanus</u> spp.), poplar and aspen (<u>Populus</u> spp.), robinia (<u>Robinia</u> spp.), tulipwood (<u>Liriodendron</u> spp.) or walnut (<u>Juglans</u> spp.):",,,,,0.0
,,,,"Not surface covered, or surface covered with a clear or transparent material which does not obscure the grain, texture or markings of the face ply:",,,,,0.0
4412.33.06,44123306,441233,44,With a face ply of birch (<u>Betula</u> spp.),Free,,9903.88.03,List 3,25.0
4412.33.06.20,44123306,441233,44,"Panels not exceeding in any dimension 3.6 mm in thickness, 1.2 m in width and 2.2 m in length",,,,,0.0
,,,,Other:,,,,,0.0
4412.33.06.40,44123306,441233,44,Not surface covered,,,,,0.0
,,,,Other:,,,,,0.0
4412.33.06.65,44123306,441233,44,Wood flooring,,,,,0.0
4412.33.06.70,44123306,441233,44,Other,,,,,0.0
4412.33.26,44123326,441233,44,With a face ply of walnut (<u>Juglans</u> spp.),5.1%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.33.26.25,44123326,441233,44,Wood flooring,,,,,0.0
4412.33.26.30,44123326,441233,44,Other,,,,,0.0
4412.33.32,44123332,441233,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.33.32.25,44123332,441233,44,Wood flooring,,,,,0.0
,,,,Other:,,,,,0.0
4412.33.32.35,44123332,441233,44,With a face ply of sen (<u>Kalopanax</u> spp.),,,,,0.0
4412.33.32.55,44123332,441233,44,With a face ply of mahogany (<u>Swietenia</u> spp. or <u>Khaya</u> spp.),,,,,0.0
,,,,Other:,,,,,0.0
4412.33.32.65,44123332,441233,44,"Panels not exceeding in any dimension 3.6 mm in thickness, 1.2 m in width and 2.2 m in length",,,,,0.0
,,,,Other:,,,,,0.0
4412.33.32.75,44123332,441233,44,Not surface covered,,,,,0.0
4412.33.32.85,44123332,441233,44,Other,,,,,0.0
4412.33.57.00,44123357,441233,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.34,,,,"Other, with at least one outer ply of nonconiferous wood not specified under subheading 4412.33:",,,,,0.0
,,,,"Not surface covered, or surface covered with a clear or transparent material which does not obscure the grain, texture or markings of the face ply:",,,,,0.0
4412.34.26.00,44123426,441234,44,With a face ply of Spanish cedar (<u>Cedrela</u> spp.),5.1%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.34.32,44123432,441234,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.34.32.25,44123432,441234,44,Wood flooring,,,,,0.0
,,,,Other:,,,,,0.0
4412.34.32.35,44123432,441234,44,With a face ply of sen (<u>Kalopanax</u> spp.),,,,,0.0
4412.34.32.55,44123432,441234,44,With a face ply of mahogany (<u>Swietenia</u> spp. or <u>Khaya</u> spp.),,,,,0.0
,,,,Other:,,,,,0.0
4412.34.32.65,44123432,441234,44,"Panels not exceeding in any dimension 3.6 mm in thickness, 1.2 m in width and 2.2 m in length",,,,,0.0
,,,,Other:,,,,,0.0
4412.34.32.75,44123432,441234,44,Not surface covered,,,,,0.0
4412.34.32.85,44123432,441234,44,Other,,,,,0.0
4412.34.57.00,44123457,441234,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.39,,,,"Other, with both outer plies of coniferous wood:",,,,,0.0
,,,,"Not surface covered, or surface covered with a clear or transparent material which does not obscure the grain, texture or markings of the face ply:",,,,,0.0
4412.39.10.00,44123910,441239,44,With a face ply of Parana pine (<u>Araucaria</u> <u>angustifolia</u>),Free,,9903.88.03,List 3,25.0
4412.39.30.00,44123930,441239,44,With a face ply of European red pine (<u>Pinus</u> <u>silvestris</u>)    ,3.4%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.39.40,44123940,441239,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
,,,,With at least one outer ply of Douglas fir (<u>Pseudotsuga</u> <u>menziesii</u>):,,,,,0.0
4412.39.40.11,44123940,441239,44,"Rough, or touch sanded for sizing purposes, but not further processed",,,,,0.0
4412.39.40.12,44123940,441239,44,"Fully sanded on at least one face, but not further processed",,,,,0.0
4412.39.40.19,44123940,441239,44,Other,,,,,0.0
,,,,"With at least one outer ply of long leaf pine (<u>Pinus</u> <u>palustris</u>), short leaf pine (<u>Pinus</u> <u>echinata</u>), southern yellow pine (loblolly pine)(<u>Pinus</u> <u>taeda</u>), slash pine (<u>Pinus</u> <u>elliotti</u>), pitch pine (<u>Pinus</u> <u>rigida</u>) or Virginia pine (<u>Pinus</u> <u>virginiana</u>):",,,,,0.0
4412.39.40.31,44123940,441239,44,"Rough, or touch sanded for sizing purposes, but not further processed",,,,,0.0
4412.39.40.32,44123940,441239,44,"Fully sanded on at least one face, but not further processed",,,,,0.0
4412.39.40.39,44123940,441239,44,Other,,,,,0.0
,,,,With at least one outer ply of <u>Agathis</u> spp.:,,,,,0.0
4412.39.40.51,44123940,441239,44,"Rough, or touch sanded for sizing purposes, but not further processed",,,,,0.0
4412.39.40.52,44123940,441239,44,"Fully sanded on at least one face, but not further processed",,,,,0.0
4412.39.40.59,44123940,441239,44,Other,,,,,0.0
,,,,Other:,,,,,0.0
4412.39.40.61,44123940,441239,44,"Rough, or touch sanded for sizing purposes, but not further processed",,,,,0.0
4412.39.40.62,44123940,441239,44,"Fully sanded on at least one face, but not further processed",,,,,0.0
4412.39.40.69,44123940,441239,44,Other,,,,,0.0
4412.39.50,44123950,441239,44,Other,5.1%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.39.50.10,44123950,441239,44,With at least one outer ply of Douglas fir (<u>Pseudotsuga</u> <u>menziesii</u>) ,,,,,0.0
4412.39.50.30,44123950,441239,44,"With at least one outer ply of long leaf pine (<u>Pinus</u> <u>palustris</u>), short leaf pine (<u>Pinus</u> <u>echinata</u>), southern yellow pine (loblolly pine) (<u>Pinus</u> <u>taeda</u>), slash pine (<u>Pinus</u> <u>elliotti</u>), pitch pine (<u>Pinus</u> <u>rigida</u>) or Virginia pine (<u>Pinus</u> <u>virginiana</u>) ",,,,,0.0
4412.39.50.50,44123950,441239,44,Other,,,,,0.0
,,,,Laminated veneered lumber (LVL):,,,,,0.0
4412.41.00.00,44124100,441241,44,With at least one outer ply of tropical wood,Free,,9903.88.03,List 3,25.0
4412.42.00.00,44124200,441242,44,"Other, with at least one outer ply of nonconiferous wood",Free,,9903.88.03,List 3,25.0
4412.49.00.00,44124900,441249,44,"Other, with both outer plies of coniferous wood",Free,,9903.88.03,List 3,25.0
,,,,"Blockboard, laminboard and battenboard:",,,,,0.0
4412.51,,,,With at least one outer ply of tropical wood:,,,,,0.0
,,,,Plywood:,,,,,0.0
,,,,"Not surface covered, or surface covered with a clear or transparent material which does not obscure the grain, texture or markings of the face ply:",,,,,0.0
4412.51.10,44125110,441251,44,With a face ply of birch (<u>Betula</u> spp.),Free,,9903.88.03,List 3,25.0
4412.51.10.30,44125110,441251,44,Not surface covered,,,,,0.0
4412.51.10.50,44125110,441251,44,Other,,,,,0.0
4412.51.31,44125131,441251,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.51.31.05,44125131,441251,44,Wood flooring,,,,,0.0
,,,,Other:,,,,,0.0
4412.51.31.11,44125131,441251,44,With a face ply of Spanish cedar (<u>Cedrela</u> spp.)  ,,,,,0.0
4412.51.31.21,44125131,441251,44,With a face ply of walnut (<u>Juglans</u> spp.)  ,,,,,0.0
4412.51.31.41,44125131,441251,44,With a face ply of mahogany (<u>Swietenia</u> spp. or <u>Khaya</u> spp.),,,,,0.0
,,,,Other:,,,,,0.0
4412.51.31.61,44125131,441251,44,Not surface covered,,,,,0.0
4412.51.31.75,44125131,441251,44,Other,,,,,0.0
4412.51.41.00,44125141,441251,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.51.51.00,44125151,441251,44,Other,Free,,9903.88.03,List 3,25.0
4412.52,,,,"Other, with at least one outer ply of nonconiferous wood:",,,,,0.0
,,,,Plywood:,,,,,0.0
,,,,"Not surface covered, or surface covered with a clear or transparent material which does not obscure the grain, texture or markings of the face ply:",,,,,0.0
4412.52.10,44125210,441252,44,With a face ply of birch (<u>Betula</u> spp.),Free,,9903.88.03,List 3,25.0
4412.52.10.30,44125210,441252,44,Not surface covered,,,,,0.0
4412.52.10.50,44125210,441252,44,Other,,,,,0.0
4412.52.31,44125231,441252,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.52.31.05,44125231,441252,44,Wood flooring,,,,,0.0
,,,,Other:,,,,,0.0
4412.52.31.21,44125231,441252,44,With a face ply of walnut (<u>Juglans</u> spp.)  ,,,,,0.0
,,,,Other:,,,,,0.0
4412.52.31.61,44125231,441252,44,Not surface covered,,,,,0.0
4412.52.31.75,44125231,441252,44,Other,,,,,0.0
4412.52.41.00,44125241,441252,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.52.51.00,44125251,441252,44,Other,Free,,9903.88.03,List 3,25.0
4412.59,,,,"Other, with both outer plies of coniferous wood:",,,,,0.0
,,,,Plywood:,,,,,0.0
,,,,"Not surface covered, or surface covered with a clear or transparent material which does not obscure the grain, texture or markings of the face ply:",,,,,0.0
4412.59.60.00,44125960,441259,44,With a face ply of Parana pine (<u>Araucaria</u> <u>angustifolia</u>),Free,,9903.88.03,List 3,25.0
4412.59.70.00,44125970,441259,44,With a face ply of European red pine (<u>Pinus silvestris</u>)    ,3.4%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.59.80.00,44125980,441259,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.59.90.00,44125990,441259,44,Other,5.1%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.59.95.00,44125995,441259,44,Other,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
4412.91,,,,With at least one outer ply of tropical wood:,,,,,0.0
4412.91.06.00,44129106,441291,44,Containing at least one layer of particle board,Free,,9903.88.03,List 3,25.0
,,,,Other:,,,,,0.0
,,,,Plywood:,,,,,0.0
,,,,"Not surface covered, or surface covered with a clear or transparent material which does not obscure the grain, texture or markings of the face ply:",,,,,0.0
4412.91.10,44129110,441291,44,With a face ply of birch (<u>Betula</u> spp.),Free,,9903.88.03,List 3,25.0
4412.91.10.20,44129110,441291,44,"Panels not exceeding in any dimension 3.6 mm in thickness, 1.2 m in width and 2.2 m in length",,,,,0.0
,,,,Other:,,,,,0.0
4412.91.10.30,44129110,441291,44,Not surface covered,,,,,0.0
4412.91.10.40,44129110,441291,44,Other,,,,,0.0
4412.91.31,44129131,441291,44,Other,8%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
4412.91.31.10,44129131,441291,44,With a face ply of Spanish cedar (<u>Cedrela</u> spp.) ,,,,,0.0
4412.91.31.20,44129131,441291,44,With a face ply of walnut (<u>Juglans</u> spp.) ,,,,,0.0
4412.91.31.30,44129131,441291,44,With a face ply of sen (<u>Kalopanax</u> spp.) ,,,,,0.0
4412.91.31.40,44129131,441291,44,With a face ply of mahogany (<u>Swietenia</u> spp. or <u>Khaya</u> spp.),,,,,0.0
,,,,Other:,,,,,0.0
4412.91.31.50,44129131,441291,44,"Panels not exceeding in any dimension 3.6 mm in thickness, 1.2 m in width, and 2.2 m in length",,,,,0.0
4412.91.31.60,44129131,441291,44,"Other, not surface covered",,,,,0.0
